Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,154.77947998046875,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,152.85227966308594,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,153.2473602294922,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,151.85006713867188,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,154.26876831054688,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,156.19606018066406,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,155.47337341308594,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.3428192138672,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,156.23464965820312,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,157.24642944335938,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,160.12771606445312,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,161.02392578125,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,160.44569396972656,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,159.67478942871094,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,160.65773010253906,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,159.03883361816406,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,156.379150390625,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,159.44354248046875,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,161.9297332763672,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,166.49734497070312,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,164.0400848388672,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,168.0391845703125,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,173.57046508789062,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,173.3584747314453,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,176.9528350830078,27751400
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,177.20338439941406,33529100
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,181.8385009765625,35844300
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,177.73338317871094,53159900
2020-02-12,185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,177.9935760498047,47062900
2020-02-13,183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,177.02996826171875,35295800
2020-02-14,183.25,185.41000366210938,182.64999389648438,185.35000610351562,178.6102752685547,23149500
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753906,180.42193603515625,27792200
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,180.9630584716797,29997500
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,178.19947814941406,36862400
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,172.56614685058594,48572600
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,165.12588500976562,68311100
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,162.40101623535156,68073300
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,164.43017578125,56206100
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,152.8446044921875,93174900
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,156.54542541503906,97012700
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,166.9617919921875,71030800
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,158.96107482910156,71677000
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,164.79734802246094,49814400
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,160.66171264648438,47817300
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,156.12022399902344,72821100
2020-03-09,151.0,157.75,150.0,150.6199951171875,145.53958129882812,70419300
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,155.49217224121094,65354400
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,148.44808959960938,56371600
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,134.3695068359375,93226400
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,153.47262573242188,92727400
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,130.852294921875,87905900
2020-03-17,140.0,147.5,135.0,146.57000732421875,141.62620544433594,81059800
